年,新潟_降水量の合計(mm),新潟_日照時間(時間),新潟_平均気温(℃),相川_降水量の合計(mm),相川_日照時間(時間),相川_平均気温(℃),高田_降水量の合計(mm),高田_日照時間(時間),高田_平均気温(℃)
2020年9月,250.5,167.3,24.4,225,178.7,24.6,246.5,138.1,24.4
2020年10月,108.5,120.5,16.4,61.5,145.6,17.4,143.5,103.2,15.9
2020年11月,124.5,96.7,11.4,122,91.3,12.9,313.5,126.9,11.4
2020年12月,203.5,45.5,5.2,180.5,39.7,6.6,723.5,69.6,4.8
2021年1月,247.5,50.2,1.9,151.5,52.1,3.6,552.5,65.9,1.5
2021年2月,97.5,104.3,4.4,86.5,84.2,5.6,390.5,123.8,3.7
2021年3月,77.5,152.5,8.5,90,150.6,8.7,96.5,146,8.1
2021年4月,109.5,218,11.4,105.5,216.9,10.9,117.5,212.1,11.3
2021年5月,114,178.1,16.9,108.5,175.1,16.1,106.5,162.7,17
2021年6月,84.5,212.8,21.5,72.5,237,20.6,120.5,187.4,21.4
2021年7月,226.5,242.5,26.1,240.5,256,25.5,235,207.4,26
2021年8月,163.5,170.4,26.7,124,183.4,26.1,285,154.5,26.3
2021年9月,121.5,190.9,22.3,138,181.6,22.4,///,156.2,22.4
2021年10月,152.5,127.6,17.2,142.5,146.7,17.7,307,146.4,16.9
2021年11月,282.5,120.3,11.5,251,123,12.9,252,138.9,11.4
2021年12月,275,59.2,5.3,230.5,41.6,7,492.5,81.9,5.5
2022年1月,120.5,69.6,2.5,104,48.4,3.5,353.5,65.8,2
2022年2月,109.5,63.3,2.5,96.5,57.9,3.4,293.5,80.3,1.8
2022年3月,87.5,137.2,7.3,101.5,152.9,7.7,140.5,107.7,6.5
2022年4月,107,199.5,12.5,93.5,222.7,12.2,112,194.3,12.7
2022年5月,89.5,255.5,17.5,104.5,248.8,16.6,105,240.9,17.3
2022年6月,172.5,181.8,21.7,75,199.6,20.7,48,179,22.4
2022年7月,223.5,239.7,26.6,146,212.3,25.7,236,180.2,26.3
2022年8月,280.5,139.5,26.6,274,139.9,26.4,301,144.6,26.6
2022年9月,123,177.2,23.8,138.5,179.4,23.5,166.5,152.5,23.8
2022年10月,117.5,130.1,15.8,118,141.4,16.8,146.5,134.6,15.6
2022年11月,171,121.4,12.2,138,123.4,13.5,322.5,118,12.1
2022年12月,400,36.9,4.7,345,34.8,6.3,667,69.4,4.7
2023年1月,149,54.4,2.9,124,44.5,4.3,512,83.4,2.9
2023年2月,109,69.7,3.5,105,68.6,4.6,284.5,93.9,2.9
2023年3月,85,213.3,9.2,88.5,212.6,9.5,97.5,189.4,9.1
2023年4月,76.5,195.1,12.7,101,203.3,12.5,71.5,198.7,12.8
2023年5月,167.5,222,16.9,172.5,234.1,16.3,183.5,212.6,16.9
2023年6月,182.5,178.1,22.1,217.5,179.5,21.3,225.5,167.7,21.8
2023年7月,172.5,224.5,26.5,176,207.7,25.5,204.5,203.5,26.7
2023年8月,2,326.1,30.6,10,305.3,29.9,35.5,303.7,30.1
2023年9月,192.5,142.8,25.8,215.5,135.2,25.5,236,122.4,25.3
2023年10月,180,150.7,16.7,134,167.6,17.7,377,160,16.3
2023年11月,233.5,111.1,12.1,234.5,89.1,13.3,369,127,11.8
2023年12月,316,56.2,6,255,57.2,7.4,502,96.4,5.8
2024年1月,180,72,4.3,147.5,57.8,5.7,447.5,83,3.3
2024年2月,114.5,70.1,4.8,90.5,75,5.6,228.5,68.9,4.4
2024年3月,168,114.3,6,202,113.4,6.3,256.5,119.2,5.9
2024年4月,54,204.6,13.7,76,202.9,13,105,189.2,13.9
2024年5月,128,210.8,17.1,134.5,220.3,16.4,108.5,199.8,17.1
2024年6月,57,226.4,22.2,70.5,233.6,21.4,77,217.3,22.2
2024年7月,376.5,99.4,26.2,228.5,96.4,25.3,228.5,157.1,26.7
2024年8月,42,197.1,28,29,212,27.4,44.5,191.4,27.9
2024年9月,292,142.8,25,328.5,163,24.4,160,145,25.4
2024年10月,144.5,142.3,18.7,167.5,148.5,18.8,185,123.3,18.5
2024年11月,246.5,106.7,11.5,187,106.3,12.3,374,106.6,11.5
2024年12月,262.5,43.1,4.9,236,28.9,6.6,732.5,48.6,4.5
